Date,NH3,TSP,CO2,TVOC,PM10,PM2.5,W_force,W_speed,Tem,RH
2022-12-01 23:30:00,9.466666667,209.6666667,1572.666667,203.6666667,24,19.66666667,0,0,14.85148682,80.69203695
2022-12-02 00:00:00,9.7,199.6666667,1559.666667,207.6666667,18.66666667,17,0,0,14.85506185,80.55725098
2022-12-02 00:30:00,9.066666667,217.3333333,1545.333333,157,24.33333333,18.33333333,0,0,14.89438721,80.29073079
2022-12-02 01:00:00,9.333333333,276.6666667,1510.333333,163.6666667,24.33333333,17.33333333,0,0,14.90868734,80.40822347
2022-12-02 01:30:00,9.8,313.3333333,1532.333333,196.3333333,26.33333333,22,0,0,15.00878825,80.28157552
2022-12-02 02:00:00,9.766666667,230,1510.666667,165.6666667,23,19.66666667,0,0,14.98376302,80.53690592
2022-12-02 02:30:00,9.4,256.6666667,1491,153.6666667,26.33333333,21.66666667,0,0,14.97661296,79.90671794
2022-12-02 03:00:00,9.266666667,297,1472,162,29.33333333,20.66666667,0,0,14.95873779,80.02319336
2022-12-02 03:30:00,9.433333333,311.6666667,1465.333333,160.6666667,28.33333333,19,0,0,15.04096354,79.59493001
2022-12-02 04:00:00,9.8,239.6666667,1451,154.3333333,27.66666667,21.66666667,0,0,14.98376302,79.77294922
2022-12-02 04:30:00,9.833333333,248.6666667,1430.666667,157,24.33333333,20.33333333,0,0,14.90153727,79.65901693
2022-12-02 05:00:00,9.733333333,262.3333333,1428.333333,173,26.33333333,22,0,0,14.91941243,80.38330078
2022-12-02 05:30:00,9.366666667,254.3333333,1425.666667,139.6666667,25,21,0,0,14.90868734,79.87467448
2022-12-02 06:00:00,9.233333333,254,1377,153.6666667,28.33333333,22,0,0,14.83003662,80.04302979
2022-12-02 06:30:00,9.233333333,261,1376,129,27.33333333,23.66666667,0,0,14.80501139,79.98708089
2022-12-02 07:00:00,9.6,242,1359,145.3333333,31,24.33333333,0,0,14.77998617,79.98250326
2022-12-02 07:30:00,9.433333333,260.3333333,1358,137.6666667,31,23.33333333,0,0,14.88008708,79.74446615
2022-12-02 08:00:00,9.066666667,345.3333333,1342.333333,141,30,24.66666667,0,0,15.03023844,80.05015055
2022-12-02 08:30:00,9.1,364,1351.666667,155.6666667,40.66666667,32.33333333,0,0,15.21614014,80.57657878
2022-12-02 09:00:00,8.766666667,480.3333333,1743.333333,1854,36.66666667,28.33333333,0,0,16.98578125,79.87976074
2022-12-02 09:30:00,7.5,482.6666667,1880.333333,660.3333333,38.33333333,27,0,0,16.92858073,78.25876872
2022-12-02 10:00:00,6.566666667,488.3333333,1755.333333,368,40,26,0,0,16.30652507,78.12754313
2022-12-02 10:30:00,6.333333333,397,1847,532,38.66666667,28.33333333,0,0,16.52460205,77.02382406
2022-12-02 11:00:00,6.433333333,295.3333333,1879,740,34.66666667,26,0,0,16.91070557,76.12508138
2022-12-02 11:30:00,5.366666667,307.6666667,1539,416,35.66666667,25.66666667,0,0,16.81060465,74.2497762
2022-12-02 12:00:00,5.5,230.3333333,1439,292.3333333,44,31.33333333,0,0,16.17424886,74.54477946
2022-12-02 12:30:00,5.366666667,150.3333333,1299.333333,218.3333333,40,32.66666667,0,0,15.77027018,73.95172119
2022-12-02 13:00:00,5.5,252.3333333,1292.333333,249.6666667,36.33333333,30.33333333,0,0,15.94544678,73.9634196
2022-12-02 13:30:00,6.066666667,295,1330.333333,255,40.66666667,31.66666667,0,0,16.67832845,71.59983317
2022-12-02 14:00:00,6.266666667,467,1337.666667,231.3333333,43.66666667,28.66666667,0,0,17.2002832,69.78810628
2022-12-02 15:00:00,5.9,817,1404,233,36.5,30.5,0,0,17.6829126,70.50374349
2022-12-02 15:30:00,5.266666667,480.3333333,1532.333333,1609.666667,39.66666667,27.33333333,0,0,18.40864421,69.2565918
2022-12-02 16:00:00,4.633333333,224,1474.333333,785,40,31.33333333,0,0,17.66503743,70.47780355
2022-12-02 16:30:00,5.5,261,1463,491,44.66666667,30,0,0,17.2002832,70.98337809
2022-12-02 17:00:00,5.533333333,196.3333333,1384.666667,280,45.33333333,31.33333333,0,0,16.82490479,71.96706136
2022-12-02 17:30:00,6.1,284.3333333,1484.666667,490,39.33333333,31.33333333,0,0,16.62827799,74.42982992
2022-12-02 18:00:00,7.3,287.6666667,1631.666667,374.3333333,47,38.33333333,0,0,16.89640544,74.83978271
2022-12-02 18:30:00,6.733333333,265.6666667,1581.666667,291,47.66666667,38,0,0,16.65687826,75.35603841
2022-12-02 19:00:00,6.733333333,283.6666667,1456.666667,331.3333333,48,36,0,0,16.33870036,75.52541097
2022-12-02 19:30:00,6.333333333,293.6666667,1341.666667,350.3333333,42,33.33333333,0,0,16.04197266,75.5762736
2022-12-02 20:00:00,6.166666667,336,1297.333333,272.6666667,40.33333333,31.33333333,0,0,15.92042155,74.94405111
2022-12-02 20:30:00,5.866666667,335,1287,299.3333333,42.66666667,30,0,0,15.83462077,75.53710938
2022-12-02 21:00:00,6.433333333,341,1269,249.6666667,45.66666667,31,0,0,15.61654378,75.15309652
2022-12-02 21:30:00,6.4,359.3333333,1230.333333,225.3333333,37.66666667,31.33333333,0,0,15.25546549,75.67138672
2022-12-02 22:00:00,6.166666667,280.6666667,1188.666667,176.6666667,37.66666667,28.66666667,0,0,15.03023844,76.2105306
2022-12-02 22:30:00,6.4,244,1152.333333,180,42.66666667,31,0,0,14.89438721,76.7288208
2022-12-02 23:00:00,6.133333333,322,1165,208.6666667,38.33333333,28.66666667,0,0,15.03738851,75.5742391
2022-12-02 23:30:00,6.366666667,219,1125.666667,141.3333333,45.66666667,30.66666667,0,0,14.85506185,76.4928182
